"","Age 70","Age 80"
"1",54449,74926
"3",319533,461561
"5",440240,841032
"7",359050,282702
"9",214409,397923
"11",162401,153184
"13",110627,84294
"15",84176,89228
"17",146056,91395
"19",130764,185961
"21",263579,502034
"23",521606,1933011
"25",547179,437839
"27",227810,90049
"29",154962,108677
"31",135183,400327
"34",273544,240386
"36",203143,736428
"38",107325,296477
"40",224619,256010
"42",478004,372811
"44",177393,226274
"46",306746,415464
"48",292226,742927
"50",348059,146211
"52",747829,134791
"54",188634,141349
"56",293915,627043
"58",285911,656054
"60",456996,1553014
"62",232748,258295
"64",301490,434099
"66",127118,404406
"68",339681,521956
"70",164204,237763
"72",116708,249137
"74",155710,211548
"76",95718,81323
"78",95862,104748
"80",110832,155261
"82",83304,265564
"84",85303,85698
"86",146554,101533
"88",91981,138736
"90",136759,289806
"92",130019,105345
"94",39582,68914
"96",74751,97366
"98",87366,244053
"100",68826,93512
"102",106867,49785
"104",87850,89533
"106",68006,150762
"108",322919,175768
"110",167552,173089
"112",109524,126063
"114",288416,200024
"116",266937,243060
"118",265028,311146
"120",369287,308266
"122",408660,514206
"124",176994,237882
"126",173815,202882
"128",113414,218393
